,Movie_Name,Duration_Minute,Genre,Rating,Text,Directores,Stars_Heroes,User_Votes,Gross_In_Million
22,The Departed,151,"Crime, Drama, Thriller",8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,"Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg","1,144,356",$132.38
23,The Prestige,130,"Drama, Mystery, Sci-Fi",8.5,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Christopher Nolan,"Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine","1,137,253",$53.09
24,Star Wars: Episode V - The Empire Strikes Back,124,"Action, Adventure, Fantasy",8.7,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",Irvin Kershner,"Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams","1,119,676",$290.48
25,The Green Mile,189,"Crime, Drama, Fantasy",8.6,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",Frank Darabont,"Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt","1,094,554",$136.80
26,Avatar,162,"Action, Adventure, Fantasy",7.8,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,James Cameron,"Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez","1,092,654",$760.51
27,Memento,113,"Mystery, Thriller",8.4,A man with short-term memory loss attempts to track down his wife's murderer.,Christopher Nolan,"Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Mark Boone Junior","1,084,904",$25.54
28,The Godfather: Part II,202,"Crime, Drama",9,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,"Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton","1,082,627",$57.30
29,Shutter Island,138,"Mystery, Thriller",8.1,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",Martin Scorsese,"Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,Ben Kingsley","1,079,456",$128.01
30,American Beauty,122,Drama,8.3,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Sam Mendes,"Kevin Spacey,Annette Bening,Thora Birch,Wes Bentley","1,038,720",$130.10
31,Titanic,194,"Drama, Romance",7.8,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",James Cameron,"Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates","1,011,743",$659.33
